effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-0.462916391393498,0.432944836449852,-1.06922719113458,0.284967309165635
fixed,type_of_interactionSign,-1.75886660693186,0.479474886041985,-3.66831852539999,0.000244150897531059
fixed,gazeTRUE,-0.141725571964322,0.261234004257713,-0.542523445089127,0.587457960843991
fixed,distance10 ft,3.44727124247202,0.314860030905809,10.9485831928387,6.7495050684827e-28
fixed,pedestrian_genderWoman,0.0214388983837709,0.236641297487769,0.0905966059659513,0.927813128889866
fixed,actor_genderW,-0.0156588018688577,0.236234924753436,-0.0662848725064726,0.947151026727213
fixed,group_lead_pedestrianTRUE,0.210181834174193,0.221231683699389,0.950053042401421,0.342085301491104
fixed,transportationBike,0.291494067895522,0.327350225347921,0.890465456639627,0.373216008665089
fixed,transportationOther,-0.0824493270416515,0.507213257887775,-0.162553572406607,0.870869944516358
fixed,transportationSkateboard,-0.532695747672075,0.479436986883022,-1.11108604935824,0.266531312155744
fixed,type_of_interactionSign:gazeTRUE,-1.37031499987372,0.344369524020675,-3.9791993898724,6.91477313418146e-05
fixed,pedestrian_genderWoman:actor_genderW,0.0549020654897584,0.336926554267781,0.162949654143685,0.870558074903206
